"자치구별(1)",자치구별(2),2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"자치구별(1)",자치구별(2),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소)
"합계",마포구,42488,459,108.0,42215,481,113.9,40509,524,129.4,38894,558,143.5,37843,574,151.7,36490,582,159.5,34757,558,160.5,33723,577,171.1,32982,565,171.3,31730,603,190.0,30717,616,200.5,29648,644,217.2,28825,683,237.0,27821,689,247.7,27429,692,252.3
"합계",양천구,84661,812,95.9,82838,857,103.5,80336,885,110.2,78027,958,122.8,74532,923,123.8,71403,969,135.7,67592,973,144.0,64559,987,152.9,62114,1031,166.0,59581,1039,174.4,57741,1052,182.2,55258,1062,192.2,53162,1037,195.1,52115,1008,193.4,51759,979,189.2
"합계",강서구,81051,561,69.2,80660,561,69.6,79614,650,81.6,76048,710,93.4,72524,673,92.8,68969,677,98.2,65413,667,102.0,62705,671,107.0,61607,706,114.6,59112,708,119.8,57214,713,124.6,55703,707,126.9,53845,693,128.7,51758,694,134.1,49769,697,140.1
"합계",구로구,53327,353,66.2,51922,374,72.0,50326,374,74.3,48719,410,84.2,46900,426,90.8,45547,393,86.3,43602,407,93.3,42400,390,92.0,41103,393,95.6,39743,411,103.4,38562,431,111.8,37286,427,114.5,36200,406,112.2,35384,394,111.3,34453,386,112.0
"합계",금천구,35261,215,61.0,33402,217,65.0,31378,221,70.4,28971,233,80.4,26825,228,85.0,25087,213,84.9,23726,214,90.2,22311,212,95.0,21119,209,99.0,19731,210,106.4,18770,215,114.5,17987,222,123.4,17293,224,129.5,16497,212,128.5,15893,208,130.9
"합계",영등포구,48037,450,93.7,46334,458,98.9,44271,451,101.9,41775,458,109.6,39348,477,121.2,36708,458,124.8,34487,450,130.5,32839,448,136.4,31151,447,143.5,29466,471,159.9,27802,470,169.1,26822,467,174.1,25992,446,171.6,25331,445,175.7,25683,440,171.3
"합계",동작구,48122,389,80.8,46615,137,29.4,44716,118,26.4,42748,429,100.4,40765,424,104.0,38765,429,110.7,37566,465,123.8,36338,441,121.4,34877,445,127.6,33338,466,139.8,32362,472,145.9,31207,458,146.8,30176,465,154.1,29160,471,161.5,28463,487,171.1
"합계",관악구,60384,440,72.9,58120,169,29.1,55438,158,28.5,52012,515,99.0,49154,554,112.7,46540,472,101.4,44192,478,108.2,42196,463,109.7,39957,446,111.6,37563,456,121.4,35532,455,128.1,33943,450,132.6,32199,443,137.6,30710,431,140.3,29361,434,147.8
"합계",서초구,52195,777,148.9,51740,802,155.0,51600,839,162.6,52729,933,176.9,52312,976,186.6,50798,1008,198.4,49927,1050,210.3,49594,1085,218.8,49118,1181,240.4,47877,1087,227.0,47258,1090,230.7,46090,1130,245.2,44671,1119,250.5,43580,1148,263.4,43599,1146,262.9
"합계",강남구,80262,1531,190.8,78358,1608,205.2,76707,1695,221.0,75879,1834,241.7,73606,1965,267.0,69955,2014,287.9,66928,2018,301.5,65652,2143,326.4,65597,2196,334.8,64412,2078,322.6,62964,2246,356.7,60608,2263,373.4,58914,2279,386.8,59344,2361,397.8,59837,2383,398.3
"합계",송파구,91404,1051,115.0,91035,1118,122.8,94531,1167,123.5,91921,1180,128.4,88455,1172,132.5,84383,1176,139.4,80039,1118,139.7,77441,1115,144.0,73232,1100,150.2,69477,1109,159.6,67537,1093,161.8,65261,1051,161.0,63999,1115,174.2,62219,1076,172.9,61823,1045,169.0
"합계",강동구,66792,717,107.4,64129,720,112.3,62123,759,122.2,60695,754,124.2,58872,757,128.6,56079,752,134.1,53140,718,135.1,50714,729,143.8,48431,731,150.9,45494,723,158.9,43705,669,153.1,41870,638,152.4,40225,672,167.1,42374,724,170.9,43671,654,149
